question,worker,answer
boy lad,A19PMUTQXDIPLZ,10
boy lad,A1ASWQQ7MSIQR7,10
boy lad,A1VKZFYJL9MQRY,10
boy lad,A309DAE1D13T8V,10
boy lad,A2XON1EQOHHFE4,9
boy lad,A4HDO1M600QW5,10
boy lad,A3CWG4SYLGAMHV,10
boy lad,AZ8KL6F16ZS7G,10
boy lad,A227TAJC8MOYK5,9
boy lad,A8CQRBBVE7VED,10
tool implement,A19PMUTQXDIPLZ,9
tool implement,A1ASWQQ7MSIQR7,8
tool implement,A1VKZFYJL9MQRY,9
tool implement,A309DAE1D13T8V,9
tool implement,A2XON1EQOHHFE4,10
tool implement,A4HDO1M600QW5,8
tool implement,A3CWG4SYLGAMHV,9
tool implement,AZ8KL6F16ZS7G,2
tool implement,A227TAJC8MOYK5,9
tool implement,A8CQRBBVE7VED,9
gem jewel,A19PMUTQXDIPLZ,10
gem jewel,A1ASWQQ7MSIQR7,9
gem jewel,A1VKZFYJL9MQRY,10
gem jewel,A309DAE1D13T8V,10
gem jewel,A2XON1EQOHHFE4,9
gem jewel,A4HDO1M600QW5,9
gem jewel,A3CWG4SYLGAMHV,10
gem jewel,AZ8KL6F16ZS7G,10
gem jewel,A227TAJC8MOYK5,9
gem jewel,A8CQRBBVE7VED,8
brother monk,A19PMUTQXDIPLZ,9
brother monk,A1ASWQQ7MSIQR7,5
brother monk,A1VKZFYJL9MQRY,5
brother monk,A309DAE1D13T8V,5
brother monk,A2XON1EQOHHFE4,10
brother monk,A4HDO1M600QW5,8
brother monk,A3CWG4SYLGAMHV,9
brother monk,AZ8KL6F16ZS7G,2
brother monk,A227TAJC8MOYK5,9
brother monk,A8CQRBBVE7VED,1
lad wizard,A19PMUTQXDIPLZ,5
lad wizard,A1ASWQQ7MSIQR7,1
lad wizard,A1VKZFYJL9MQRY,0
lad wizard,A309DAE1D13T8V,3
lad wizard,A2XON1EQOHHFE4,5
lad wizard,A4HDO1M600QW5,4
lad wizard,A3CWG4SYLGAMHV,3
lad wizard,AZ8KL6F16ZS7G,8
lad wizard,A227TAJC8MOYK5,0
lad wizard,A8CQRBBVE7VED,1
brother lad,A19PMUTQXDIPLZ,5
brother lad,A1ASWQQ7MSIQR7,3
brother lad,A1VKZFYJL9MQRY,3
brother lad,A309DAE1D13T8V,9
brother lad,A2XON1EQOHHFE4,6
brother lad,A4HDO1M600QW5,8
brother lad,A3CWG4SYLGAMHV,10
brother lad,AZ8KL6F16ZS7G,2
brother lad,A227TAJC8MOYK5,2
brother lad,A8CQRBBVE7VED,3
monk slave,A19PMUTQXDIPLZ,0
monk slave,A1ASWQQ7MSIQR7,0
monk slave,A1VKZFYJL9MQRY,0
monk slave,A309DAE1D13T8V,5
monk slave,A2XON1EQOHHFE4,3
monk slave,A4HDO1M600QW5,4
monk slave,A3CWG4SYLGAMHV,3
monk slave,AZ8KL6F16ZS7G,0
monk slave,A227TAJC8MOYK5,0
monk slave,A8CQRBBVE7VED,0
automobile car,A19PMUTQXDIPLZ,10
automobile car,A1ASWQQ7MSIQR7,10
automobile car,A1VKZFYJL9MQRY,10
automobile car,A309DAE1D13T8V,10
automobile car,A2XON1EQOHHFE4,10
automobile car,A4HDO1M600QW5,10
automobile car,A3CWG4SYLGAMHV,10
automobile car,AZ8KL6F16ZS7G,10
automobile car,A227TAJC8MOYK5,9
automobile car,A8CQRBBVE7VED,10
forest graveyard,A19PMUTQXDIPLZ,2
forest graveyard,A1ASWQQ7MSIQR7,0
forest graveyard,A1VKZFYJL9MQRY,0
forest graveyard,A309DAE1D13T8V,4
forest graveyard,A2XON1EQOHHFE4,6
forest graveyard,A4HDO1M600QW5,4
forest graveyard,A3CWG4SYLGAMHV,1
forest graveyard,AZ8KL6F16ZS7G,0
forest graveyard,A227TAJC8MOYK5,0
forest graveyard,A8CQRBBVE7VED,2
asylum madhouse,A19PMUTQXDIPLZ,10
asylum madhouse,A1ASWQQ7MSIQR7,8
asylum madhouse,A1VKZFYJL9MQRY,9
asylum madhouse,A309DAE1D13T8V,10
asylum madhouse,A2XON1EQOHHFE4,8
asylum madhouse,A4HDO1M600QW5,9
asylum madhouse,A3CWG4SYLGAMHV,10
asylum madhouse,AZ8KL6F16ZS7G,2
asylum madhouse,A227TAJC8MOYK5,9
asylum madhouse,A8CQRBBVE7VED,8
cemetery woodland,A19PMUTQXDIPLZ,3
cemetery woodland,A1ASWQQ7MSIQR7,0
cemetery woodland,A1VKZFYJL9MQRY,0
cemetery woodland,A309DAE1D13T8V,4
cemetery woodland,A2XON1EQOHHFE4,4
cemetery woodland,A4HDO1M600QW5,4
cemetery woodland,A3CWG4SYLGAMHV,1
cemetery woodland,AZ8KL6F16ZS7G,2
cemetery woodland,A227TAJC8MOYK5,0
cemetery woodland,A8CQRBBVE7VED,3
midday noon,A19PMUTQXDIPLZ,9
midday noon,A1ASWQQ7MSIQR7,10
midday noon,A1VKZFYJL9MQRY,10
midday noon,A309DAE1D13T8V,10
midday noon,A2XON1EQOHHFE4,10
midday noon,A4HDO1M600QW5,10
midday noon,A3CWG4SYLGAMHV,10
midday noon,AZ8KL6F16ZS7G,10
midday noon,A227TAJC8MOYK5,9
midday noon,A8CQRBBVE7VED,8
bird cock,A19PMUTQXDIPLZ,8
bird cock,A1ASWQQ7MSIQR7,5
bird cock,A1VKZFYJL9MQRY,8
bird cock,A309DAE1D13T8V,9
bird cock,A2XON1EQOHHFE4,8
bird cock,A4HDO1M600QW5,9
bird cock,A3CWG4SYLGAMHV,6
bird cock,AZ8KL6F16ZS7G,10
bird cock,A227TAJC8MOYK5,8
bird cock,A8CQRBBVE7VED,8
crane implement,A19PMUTQXDIPLZ,8
crane implement,A1ASWQQ7MSIQR7,0
crane implement,A1VKZFYJL9MQRY,0
crane implement,A309DAE1D13T8V,5
crane implement,A2XON1EQOHHFE4,5
crane implement,A4HDO1M600QW5,5
crane implement,A3CWG4SYLGAMHV,4
crane implement,AZ8KL6F16ZS7G,2
crane implement,A227TAJC8MOYK5,2
crane implement,A8CQRBBVE7VED,0
food fruit,A19PMUTQXDIPLZ,7
food fruit,A1ASWQQ7MSIQR7,4
food fruit,A1VKZFYJL9MQRY,7
food fruit,A309DAE1D13T8V,10
food fruit,A2XON1EQOHHFE4,9
food fruit,A4HDO1M600QW5,9
food fruit,A3CWG4SYLGAMHV,6
food fruit,AZ8KL6F16ZS7G,10
food fruit,A227TAJC8MOYK5,8
food fruit,A8CQRBBVE7VED,8
coast hill,A19PMUTQXDIPLZ,4
coast hill,A1ASWQQ7MSIQR7,0
coast hill,A1VKZFYJL9MQRY,0
coast hill,A309DAE1D13T8V,7
