question,truth
t342646,2
t189317,4
t48377,5
t73830,3
t60415,2
t145585,3
t295310,5
t231752,3
t17313,2
t332429,2
t363285,2
t362673,4
t227433,1
t326904,3
t116185,2
t28685,5
t81098,3
t3661,4
t30185,2
t251373,5
t193768,2
t301481,3
t338050,3
t26303,5
t25956,5
t176579,5
t205123,5
t230106,2
t318689,4
t16937,4
t595,3
t137738,4
t342185,3
t268354,3
t281875,4
t193723,5
t165233,3
t6753,3
t44454,5
t149641,2
t320416,2
t198627,3
t334479,2
t124365,2
t173943,3
t248291,1
t172971,1
t129708,2
t102068,5
t20610,3
t328538,3
t281471,2
t269029,5
t162298,3
t110938,4
t222325,3
t363251,3
t11400,3
t57295,4
t171653,2
t157171,5
t279792,2
t139102,1
t146810,1
t314954,3
t170299,2
t87747,3
t180246,3
t85223,4
t124477,5
t152601,4
t61317,3
t315680,5
t279723,5
t264780,3
t214489,1
t63031,5
t128006,4
t217424,1
t129920,1
t8444,2
t139228,5
t240877,5
t340020,2
t40470,5
t339481,5
t257711,3
t265217,2
t149716,2
t77142,2
t52839,2
t103493,2
t233109,1
t267322,1
t148769,4
t28397,5
t221380,4
t138987,3
t143975,3
t191889,2
t359210,5
t245967,1
t242640,1
t120626,3
t101111,2
t99605,2
t71324,4
t195642,3
t110516,4
t300197,1
t51699,1
t215312,3
t185328,3
t260526,2
t71465,2
t86621,4
t30110,3
t132684,3
t161305,2
t159941,3
t261006,3
t159135,3
t251300,1
t34148,1
t220217,3
t60409,5
t136775,2
t292193,4
t193224,1
t219949,2
t303831,2
t295578,4
t47766,3
t110861,4
t133079,2
t66732,4
t55823,2
t339767,4
t51802,4
t156124,2
t332056,3
t73929,1
t209199,3
t102735,4
t71817,1
t124981,2
t190859,3
t160826,4
t144061,2
t99705,1
t4143,4
t314010,3
t184875,4
t290149,2
t283459,1
t160154,5
t266371,3
t126726,4
t21092,4
t254420,5
t12881,1
t354873,2
t277541,2
t203831,5
t318603,2
t264090,2
t208416,5
t355322,2
t102383,1
t7723,3
t130061,3
t33289,3
t70965,3
t363722,4
t120361,2
t79438,2
t289564,4
t7247,4
t255433,5
t143235,1
t143782,1
t48523,2
t8952,2
t46080,2
t238950,1
t46605,3
t260891,3
t159876,2
t141505,5
t54725,5
t181714,4
t325562,3
t197901,4
t135327,1
t123896,2
t105381,5
t113013,5
t340908,2
t101000,5
t110243,1
t246867,5
t143460,5
t146692,5
t255015,5
t293203,1
t190834,5
t68803,5
t199239,3
t43587,1
t99205,1
t39652,4
t183063,3
t148240,5
t156864,3
t216724,5
t134752,4
t192831,3
t75350,2
t36439,4
t66047,3
t220312,1
t133858,3
t156433,2
t183319,3
t119604,1
t241611,3
t178622,4
t6101,5
t31504,1
t249026,3
t133006,2
t2073,2
t243381,5
t343604,2
t311528,2
t276449,3
t121831,1
t60419,2
t26789,4
t80438,2
t145451,4
t343872,2
t343889,3
t358194,4
t363396,5
t241294,3
t178176,1
t174883,1
t95340,3
t186600,3
t75567,5
t82114,2
t308073,3
t208282,5
t99631,1
