,uid,sentence,sentenceId,parse
0,0,"But I didn't really think it was as simple as that , nor did anyone else .",58,"(S1
  (S
    (CC But)
    (NP (PRP I))
    (VP
      (VBP didn't)
      (RB really)
      (VP
        (VB think)
        (SBAR
          (S
            (NP (PRP it))
            (VP
              (VP
                (VBD was)
                (ADJP
                  (RB as)
                  (JJ simple)
                  (PP (IN as) (NP (DT that)))))
              (, ,)
              (CC nor)
              (VP (VBD did) (NP (NN anyone) (RB else))))))))
    (. .)))"
1,0,"`` Yeah , I've heard more about SX-21 than space exploration lately .",55,"(S1
  (S
    (`` ``)
    (INTJ (UH Yeah))
    (, ,)
    (NP (NNP I've))
    (VP
      (VBD heard)
      (ADJP
        (RBR more)
        (IN about)
        (JJ SX-21)
        (PP (IN than) (NP (NN space) (NN exploration))))
      (ADVP (RB lately)))
    (. .)))"
2,0,"Assistant coach John Cudmore described victory as `` a good feeling , I think , on the part of the coaches and the players .",22,"(S1
  (S
    (NP (NN Assistant) (NN coach))
    (NP (NNP John) (NNP Cudmore))
    (VP
      (VBD described)
      (NP (NN victory))
      (PP
        (IN as)
        (`` ``)
        (S
          (NP
            (NP (DT a) (JJ good) (NN feeling))
            (PRN (, ,) (S (NP (PRP I)) (VP (VBP think))) (, ,)))
          (PP
            (IN on)
            (NP
              (NP (DT the) (NN part))
              (PP
                (IN of)
                (NP
                  (NP (DT the) (NNS coaches))
                  (CC and)
                  (NP (DT the) (NNS players)))))))))
    (. .)))"
3,0,"Speakers at a Tipoff Club dinner dealt lavish praise to a group of St. Louis University players who , in the words of Coach John Benington , `` had more confidence in themselves than I did '' .",61,"(S1
  (S
    (NP
      (NP (NNS Speakers))
      (PP (IN at) (NP (DT a) (NNP Tipoff) (NNP Club) (NN dinner))))
    (VP
      (VBD dealt)
      (NP (JJ lavish) (NN praise))
      (PP
        (TO to)
        (NP
          (NP
            (NP
              (NP (DT a) (NN group))
              (PP
                (IN of)
                (NP (NNP St.) (NNP Louis) (NNP University))))
            (NNS players))
          (SBAR
            (WHNP (WP who))
            (S
              (, ,)
              (PP
                (IN in)
                (NP
                  (NP (DT the) (NNS words))
                  (PP
                    (IN of)
                    (NP (NNP Coach) (NNP John) (NNP Benington)))))
              (, ,)
              (VP
                (`` ``)
                (VP
                  (VBD had)
                  (NP
                    (NP (JJR more) (NN confidence))
                    (PP (IN in) (NP (PRP themselves)))
                    (SBAR (IN than) (S (NP (PRP I)) (VP (VBD did))))))
                ('' '')))))))
    (. .)))"
4,0,"But such cases were , in the past , unusual .",15,"(S1
  (S
    (CC But)
    (NP (JJ such) (NNS cases))
    (VP
      (VBD were)
      (, ,)
      (PP (IN in) (NP (DT the) (NN past)) (, ,) (ADVP (JJ unusual))))
    (. .)))"
5,0,`` We have checked her in different parts of Europe and Egypt and finally back into this country .,72,"(S1
  (S
    (`` ``)
    (NP (PRP We))
    (VP
      (VP
        (VBP have)
        (VP
          (VBN checked)
          (NP (PRP her))
          (PP
            (IN in)
            (NP
              (NP (JJ different) (NNS parts))
              (PP
                (IN of)
                (NP (NP (NNP Europe)) (CC and) (NP (NNP Egypt))))))))
      (CC and)
      (ADVP (RB finally))
      (VP
        (ADVP (RB back) (PP (IN into) (NP (DT this) (NN country))))))
    (. .)))"
6,0,"The special guard , however , was still posted on Kehl bridge .",48,"(S1
  (S
    (NP
      (NP (DT The) (JJ special) (NN guard))
      (PRN (, ,) (ADVP (RB however)) (, ,)))
    (VP
      (VBD was)
      (VP
        (ADVP (RB still))
        (VBN posted)
        (PP (IN on) (NP (NNP Kehl) (NN bridge)))))
    (. .)))"
7,0,"`` Of course ( George's letter continued ) , there are practical problems to be considered .",84,"(S1
  (S
    (`` ``)
    (PP (IN Of) (NP (NN course)))
    (PRN
      (-LRB- -LRB-)
      (NP (NNP George's) (NN letter))
      (VP (VBD continued))
      (-RRB- -RRB-)
      (, ,))
    (NP (EX there))
    (VP
      (VBP are)
      (NP
        (NP (JJ practical) (NNS problems))
        (SBAR (S (VP (TO to) (VP (VB be) (VP (VBN considered))))))))
    (. .)))"
8,0,"Since 1944 he has also conducted regularly at the San Francisco Opera , where he made his debut with a memorable performance of Verdi's Falstaff .",82,"(S1
  (S
    (PP (IN Since) (NP (CD 1944)))
    (NP (PRP he))
    (VP
      (VBZ has)
      (RB also)
      (VP
        (VBD conducted)
        (ADVP (RB regularly))
        (PP
          (IN at)
          (NP
            (NP (DT the) (NNP San) (NNP Francisco) (NNP Opera))
            (, ,)
            (SBAR
              (WHADVP (WRB where))
              (S
                (NP (PRP he))
                (VP (VBD made) (NP (PRP$ his) (NN debut)))))))
        (PP
          (IN with)
          (NP
            (NP (DT a) (JJ memorable) (NN performance))
            (PP (IN of) (NP (NNP Verdi's) (NNP Falstaff)))))))
    (. .)))"
9,0,bright flowers from the trumpet vine that made `` gloves '' on the ends of ten waggling fingers .,8,"(S1
  (S
    (NP
      (NP (JJ bright) (NNS flowers))
      (PP (IN from) (NP (DT the) (NN trumpet) (NN vine))))
    (DT that)
    (VP
      (VBD made)
      (NP
        (`` ``)
        (NP (NNS gloves))
        ('' '')
        (PP
          (IN on)
          (NP
            (NP (DT the) (NNS ends))
            (PP (IN of) (NP (CD ten) (NN waggling) (NNS fingers)))))))
    (. .)))"
10,0,"This characterizes Euclid's formulation of geometry , but not Ptolemy's astronomy .",27,"(S1
  (S
    (S
      (NP (DT This))
      (VP
        (VBZ characterizes)
        (NP
          (NP (NNP Euclid's) (NN formulation))
          (PP (IN of) (NP (NN geometry))))))
    (, ,)
    (CC but)
    (S (NP (RB not) (NNP Ptolemy's) (NNP astronomy)))
    (. .)))"
11,0,before it was sprawled the mangled corpse of the bearded stranger .,16,"(S1
  (S
    (RB before)
    (NP (PRP it))
    (VP
      (VBD was)
      (VP
        (VBN sprawled)
        (NP (DT the) (JJ mangled) (NN corpse))
        (PP (IN of) (NP (DT the) (JJ bearded) (NN stranger)))))
    (. .)))"
12,0,"He could remember the feel of his father's big hands , the thump of his father's heart sending out signals -- regular , like radar .",98,"(S1
  (S
    (NP (PRP He))
    (VP
      (MD could)
      (VP
        (VB remember)
        (NP
          (NP (DT the) (NN feel))
          (PP
            (IN of)
            (NP
              (NP (PRP$ his) (JJ father's) (JJ big) (NNS hands))
              (, ,)
              (NP
                (NP (DT the) (NN thump))
                (PP
                  (IN of)
                  (S
                    (NP (PRP$ his) (NN father's) (NN heart))
                    (VP
                      (VBG sending)
                      (PRT (RP out))
                      (NP (NNS signals))))))
              (: --)
              (NP (JJ regular) (, ,) (JJ like) (NN radar)))))))
    (. .)))"
13,0,"Stick 4 or 5 cloves in each frank , ham fashion .",28,"(S1
  (S
    (VP
      (VB Stick)
      (NP (QP (CD 4) (CC or) (CD 5)) (NNS cloves))
      (PP
        (IN in)
        (NP
          (NP (DT each) (JJ frank))
          (, ,)
          (NP (NN ham) (NN fashion)))))
    (. .)))"
14,0,"Turning quickly toward Elaine , Nick saw that she , too , stood in shocked surprise .",19,"(S1
  (S
    (S
      (VP
        (VBG Turning)
        (ADVP (RB quickly))
        (PP (IN toward) (NP (NNP Elaine)))))
    (, ,)
    (NP (NNP Nick))
    (VP
      (VBD saw)
      (SBAR
        (IN that)
        (S
          (NP (PRP she))
          (, ,)
          (ADVP (RB too))
          (, ,)
          (VP
            (VBD stood)
            (PP (IN in) (NP (VBN shocked) (NN surprise))))
          (. .))))))"
15,0,`` Young for his age '' means only the presence of some minor characteristic not quite usual .,90,"(S1
  (S
    (NP
      (`` ``)
      (NP (NNP Young))
      (PP (IN for) (NP (PRP$ his) (NN age)))
      ('' ''))
    (VP
      (VBZ means)
      (ADVP (RB only))
      (NP
        (NP (DT the) (NN presence))
        (PP
          (IN of)
          (NP
            (NP (DT some) (JJ minor) (NN characteristic))
            (PP (RB not) (ADJP (RB quite) (JJ usual)))))))
    (. .)))"
16,0,"When the sun came out , Stevie strode proudly into Orange Square , smiling like a landlord on industrious tenants .",4,"(S1
  (S
    (SBAR
      (WHADVP (WRB When))
      (S (NP (DT the) (NN sun)) (VP (VBD came) (ADVP (RB out)))))
    (, ,)
    (NP (NNP Stevie))
    (VP
      (VBD strode)
      (PP (RB proudly) (IN into) (NP (NNP Orange) (NNP Square)))
      (, ,)
      (PP
        (VBG smiling)
        (PP
          (IN like)
          (NP
            (NP (DT a) (NN landlord))
            (PP (IN on) (NP (JJ industrious) (NNS tenants)))))))
    (. .)))"
17,0,"Smiling at his quixotic thoughts , Warren turned back from the opening and lit a cigarette before sitting down .",89,"(S1
  (S
    (PP
      (VBG Smiling)
      (PP (IN at) (NP (PRP$ his) (JJ quixotic) (NNS thoughts))))
    (, ,)
    (NP (NNP Warren))
    (VP
      (VP
        (VBD turned)
        (ADVP (RP back) (PP (IN from) (NP (DT the) (NN opening)))))
      (CC and)
      (VP
        (VBD lit)
        (NP (DT a) (NN cigarette))
        (PP (IN before) (S (VP (VBG sitting) (PRT (RP down)))))))
    (. .)))"
18,0,Data on such comparisons together with data on the effect of light intensity are given in Table 1 .,18,"(S1
  (S
    (NP
      (NP (NNS Data))
      (PP (IN on) (NP (JJ such) (NNS comparisons))))
    (ADVP
      (RB together)
      (PP
        (IN with)
        (NP (NP (NNS data)) (PP (IN on) (NP (DT the) (NN effect))))
        (PP (IN of) (NP (JJ light) (NN intensity)))))
    (VP
      (VBP are)
      (VP (VBN given) (PP (IN in) (NP (NNP Table) (CD 1)))))
    (. .)))"
19,0,"a pile of wire cages for mice from his time as a geneticist and a microscope lying on its side on the window sill , vertical steel columns wired for support to the open ceiling beams with spidery steel cantilevers jutting out into the air , masonry constructions on the floor from the time he was inventing his disastrous fireplace whose smoke would pass through a whole house , visible all the way up through wire gratings on each floor .",38,"(S1
  (S
    (NP
      (NP (DT a) (NN pile))
      (PP
        (IN of)
        (S
          (NP
            (NP (NN wire) (NNS cages))
            (PP
              (IN for)
              (NP
                (NP (NNS mice))
                (PP
                  (IN from)
                  (NP
                    (NP (PRP$ his) (NN time))
                    (PP
                      (IN as)
                      (NP
                        (NP (DT a) (NN geneticist))
                        (CC and)
                        (NP (DT a) (NN microscope)))))))))
          (VP
            (VBG lying)
            (PP (IN on) (NP (PRP$ its) (NN side)))
            (PP
              (IN on)
              (NP
                (NP
                  (DT the)
                  (NN window)
                  (NN sill)
                  (, ,)
                  (JJ vertical)
                  (NN steel)
                  (NNS columns))
                (VP
                  (VBN wired)
                  (PP
                    (IN for)
                    (NP
                      (NP (NN support))
                      (PP
                        (TO to)
                        (NP (DT the) (JJ open) (NN ceiling))))))))))))
    (VP
      (VBZ beams)
      (PP
        (IN with)
        (NP
          (NP (JJ spidery) (NN steel) (NNS cantilevers))
          (VP
            (VBG jutting)
            (PRT (RP out))
            (PP (IN into) (NP (DT the) (NN air)))
            (, ,)
            (NP
              (NP (NN masonry) (NNS constructions))
              (PP
                (IN on)
                (NP
                  (NP (DT the) (NN floor))
                  (PP
                    (IN from)
                    (NP
                      (NP (DT the) (NN time))
                      (SBAR
                        (S
                          (NP (PRP he))
                          (VP
                            (VBD was)
                            (VP
                              (VBG inventing)
                              (NP
                                (NP
                                  (PRP$ his)
                                  (JJ disastrous)
                                  (NN fireplace))
                                (SBAR
                                  (WHNP (WP$ whose) (NN smoke))
                                  (S
                                    (VP
                                      (MD would)
                                      (VP
                                        (VB pass)
                                        (PP
                                          (IN through)
                                          (NP
                                            (DT a)
                                            (JJ whole)
                                            (NN house)))
                                        (, ,)
                                        (S
                                          (VP
                                            (JJ visible)
                                            (NP
                                              (PDT all)
                                              (DT the)
                                              (NN way))
                                            (PP
                                              (IN up)
                                              (PP
                                                (IN through)
                                                (NP
                                                  (NP
                                                    (NN wire)
                                                    (NNS gratings))
                                                  (PP
                                                    (IN on)
                                                    (NP
                                                      (DT each)
                                                      (NN floor))))))))))))))))))))))))))
    (. .)))"
0,1,"`` You can get a job working in a grocery store , if nothing else '' .",25,"(S1
  (S
    (`` ``)
    (NP (PRP You))
    (VP
      (MD can)
      (VP
        (VB get)
        (NP
          (NP (DT a) (NN job))
          (VP
            (VBG working)
            (PP (IN in) (NP (DT a) (NN grocery) (NN store))))
          (, ,)
          (PP (IN if) (NP (NP (NN nothing)) (ADJP (RB else)))))))
    ('' '')
    (. .)))"
1,1,"These assumptions lead to an organization with one man at the top , six directly under him , six under each of these , and so on until there are six levels of personnel .",21,"(S1
  (S
    (NP (DT These) (NNS assumptions))
    (VP
      (VBP lead)
      (PP
        (TO to)
        (NP
          (NP (DT an) (NN organization))
          (PP
            (IN with)
            (NP
              (NP
                (NP (CD one) (NN man))
                (PP (IN at) (NP (DT the) (NN top))))
              (, ,)
              (NP
                (NP (CD six))
                (PP (ADVP (RB directly)) (IN under) (NP (PRP him))))
              (, ,)
              (NP
                (NP (CD six))
                (PP
                  (IN under)
                  (NP (NP (DT each)) (PP (IN of) (NP (DT these))))
                  (, ,)
                  (CC and)
                  (ADVP (RB so))
                  (PP
                    (IN on)
                    (SBAR
                      (IN until)
                      (S
                        (NP (EX there))
                        (VP
                          (VBP are)
                          (NP
                            (NP (CD six) (NNS levels))
                            (PP (IN of) (NP (NNS personnel)))))))))))))))
    (. .)))"
2,1,You only have to think of franks and sausages to know what I mean .,5,"(S1
  (S
    (NP (PRP You))
    (ADVP (RB only))
    (VP
      (VP
        (VBP have)
        (S
          (VP (TO to) (VP (VB think) (PP (IN of) (NP (NNS franks)))))))
      (CC and)
      (VP
        (NNS sausages)
        (S
          (VP
            (TO to)
            (VP
              (VB know)
              (SBAR
                (WHNP (WP what))
                (S (NP (PRP I)) (VP (VBP mean)))))))))
    (. .)))"
3,1,His rock was special because no one on the beach could see him here .,7,"(S1
  (S
    (NP (PRP$ His) (NN rock))
    (VP
      (VBD was)
      (VP
        (JJ special)
        (SBAR
          (IN because)
          (S
            (NP
              (NP (DT no) (NN one))
              (PP (IN on) (NP (DT the) (NN beach))))
            (VP
              (MD could)
              (VP (VB see) (NP (PRP him)) (ADVP (RB here))))))))
    (. .)))"
4,1,"But I didn't really think it was as simple as that , nor did anyone else .",58,"(S1
  (S
    (CC But)
    (NP (PRP I))
    (VP
      (VBP didn't)
      (ADVP (RB really))
      (VP
        (VB think)
        (SBAR
          (S
            (NP (PRP it))
            (VP
              (VP
                (VBD was)
                (ADVP
                  (RB as)
                  (JJ simple)
                  (PP (IN as) (NP (DT that)))))
              (, ,)
              (CC nor)
              (VP (VBD did) (NP (NN anyone) (RB else))))))))
    (. .)))"
5,1,"But such cases were , in the past , unusual .",15,"(S1
  (S
    (CC But)
    (NP (JJ such) (NNS cases))
    (VP
      (VBD were)
      (, ,)
      (PP
        (IN in)
        (NP (NP (DT the) (NN past)) (, ,) (ADVP (JJ unusual)))))
    (. .)))"
